Type,Mass,Luminosity,Radius,Temperature,ColorIndex,AbsMag,BoloCorr,BoloMag,ColorRGB
C0Ia0,12.0,8.13e+05,1.42e+03,4669,1.03,-9.4,-0.62,-10.02,255231193
C0Ia,10.2,1.70e+05,6.49e+02,4669,1.03,-7.7,-0.62,-8.32,255231193
C0Ib,8.3,9.77e+03,1.56e+02,4669,1.03,-4.6,-0.62,-5.22,255231193
C0II,6.5,1.29e+03,5.65e+01,4669,1.03,-2.4,-0.62,-3.02,255237209
C0III,4.6,8.91e+01,1.49e+01,4669,1.03,0.5,-0.62,-0.12,255243233
C0IV,2.8,6.20e+00,2.76e+00,5560,0.75,3.0,-0.23,2.77,255245238
C0V,0.9,9.82e-01,1.10e+00,5560,0.75,5.0,-0.23,4.77,255241229
C0VI,0.8,2.97e-01,6.05e-01,5560,0.75,6.3,-0.23,6.07,255241229
C1Ia0,12.7,1.10e+06,1.88e+03,4371,1.14,-9.5,-0.85,-10.35,255222172
C1Ia,10.8,1.91e+05,7.85e+02,4371,1.14,-7.6,-0.85,-8.45,255222172
C1Ib,8.8,1.20e+04,1.97e+02,4371,1.14,-4.6,-0.85,-5.45,255222172
C1II,6.8,1.59e+03,7.16e+01,4371,1.14,-2.4,-0.85,-3.25,255232196
C1III,4.8,1.32e+02,2.06e+01,4371,1.14,0.3,-0.85,-0.55,255242224
C1IV,2.8,7.00e+00,3.41e+00,5164,0.87,3.0,-0.36,2.64,255241228
C1V,0.8,6.39e-01,1.03e+00,5164,0.87,5.6,-0.36,5.24,255235218
C1VI,0.7,1.76e-01,5.40e-01,5164,0.87,7.0,-0.36,6.64,255235218
C2Ia0,13.5,1.31e+06,2.37e+03,4073,1.25,-9.4,-1.15,-10.55,255214150
C2Ia,11.4,2.28e+05,9.89e+02,4073,1.25,-7.5,-1.15,-8.65,255214150
C2Ib,9.2,1.73e+04,2.72e+02,4073,1.25,-4.7,-1.15,-5.85,255214150
C2II,7.1,2.28e+03,9.89e+01,4073,1.25,-2.5,-1.15,-3.65,255226183
C2III,5.0,2.08e+02,2.99e+01,4073,1.25,0.1,-1.15,-1.05,255241215
C2IV,2.9,7.67e+00,4.18e+00,4769,1.00,3.1,-0.56,2.54,255236218
C2V,0.8,2.78e-01,7.97e-01,4769,1.00,6.7,-0.56,6.14,255228207
C2VI,0.7,1.33e-01,5.51e-01,4769,1.00,7.5,-0.56,6.94,255228207
C3Ia0,14.2,1.71e+06,3.15e+03,3776,1.37,-9.3,-1.53,-10.83,255206129
C3Ia,12.0,2.97e+05,1.31e+03,3776,1.37,-7.4,-1.53,-8.93,255206129
